id,name,party,faction
10919,Alicia Payne,Australian Labor Party,unaligned
10543,Amanda Rishworth,Australian Labor Party,right
10812,Andrew Giles,Australian Labor Party,left
10746,Andrew Leigh,Australian Labor Party,unaligned
10931,Anika Wells,Australian Labor Party,right
10863,Anne Aly,Australian Labor Party,left
10895,Anne Stanley,Australian Labor Party,left
10007,Anthony Albanese,Australian Labor Party,left
10088,Anthony Byrne,Australian Labor Party,right
10580,Bill Shorten,Australian Labor Party,right
10496,Brendan O'Connor,Australian Labor Party,left
10871,Brian Mitchell,Australian Labor Party,left
10368,Catherine King,Australian Labor Party,left
10060,Chris Bowen,Australian Labor Party,right
10294,Chris Hayes,Australian Labor Party,right
10814,Clare O'Neil,Australian Labor Party,right
10925,Daniel Mulino,Australian Labor Party,right
10910,David Smith,Australian Labor Party,right
10749,Ed Husic,Australian Labor Party,right
10864,Emma McBride,Australian Labor Party,right
10926,Fiona Phillips,Australian Labor Party,left
10907,Ged Kearney,Australian Labor Party,left
10512,Graham Perrett,Australian Labor Party,left
10123,Jason Clare,Australian Labor Party,right
10809,Jim Chalmers,Australian Labor Party,right
10799,Joanne Ryan,Australian Labor Party,right
10230,Joel Fitzgibbon,Australian Labor Party,right
10934,Josh Burns,Australian Labor Party,right
10893,Josh Wilson,Australian Labor Party,left
10885,Julian Hill,Australian Labor Party,left
10136,Julie Collins,Australian Labor Party,left
10503,Julie Owens,Australian Labor Party,left
10195,Justine Elliot,Australian Labor Party,right
10930,Kate Thwaites,Australian Labor Party,left
10960,Kristy McBain,Australian Labor Party,right
10921,Libby Coker,Australian Labor Party,left
10858,Linda Burney,Australian Labor Party,left
10787,Lisa Chesters,Australian Labor Party,left
10877,Luke Gosling,Australian Labor Party,right
10884,Madeleine King,Australian Labor Party,right
10649,Maria Vamvakinou,Australian Labor Party,left
10086,Mark Butler,Australian Labor Party,left
10181,Mark Dreyfus,Australian Labor Party,right
10861,Matt Keogh,Australian Labor Party,right
10762,Matt Thistlethwaite,Australian Labor Party,right
10876,Meryl Swanson,Australian Labor Party,right
10751,Michelle Rowland,Australian Labor Party,right
10872,Mike Freelander,Australian Labor Party,right
10880,Milton Dick,Australian Labor Party,right
10813,Pat Conroy,Australian Labor Party,left
10911,Patrick Gorman,Australian Labor Party,left
10924,Peta Murphy,Australian Labor Party,left
10887,Peter Khalil,Australian Labor Party,right
10418,Richard Marles,Australian Labor Party,right
10733,Rob Mitchell,Australian Labor Party,right
10043,Sharon Bird,Australian Labor Party,right
10805,Sharon Claydon,Australian Labor Party,left
10485,Shayne Neumann,Australian Labor Party,right
10740,Stephen Jones,Australian Labor Party,left
10245,Steve Georganas,Australian Labor Party,right
10873,Susan Templeman,Australian Labor Party,left
10513,Tanya Plibersek,Australian Labor Party,left
10825,Terri Butler,Australian Labor Party,left
10794,Tim Watts,Australian Labor Party,right
10081,Tony Burke,Australian Labor Party,right
10695,Tony Zappia,Australian Labor Party,left
10599,Warren Snowdon,Australian Labor Party,left